Beko RC-2206 (P 100),39425,1.00,19.00,200394250016
Beko RM-283C,38118,1.00,16.00,6974086691862
Case WiMAX 60*170,38660,1.00,8.00,4650061090197
ClickPdu  LG RM-L999+1,38662,2.00,22.00,6974086694900
Controller For X96 mini X96 X96W Set,39319,1.00,13.00,200393190016
D-Color DC711HD (Selenga),38227,2.00,14.00,6972401117820
Daewoo R-40A01,38561,1.00,15.00,6972401111156
Daewoo R-48A01,39426,1.00,16.00,6972401116168
Dvb-T2 Remote Rm-D1155,39608,2.00,14.00,200396080017
DVB-T2+2 ver.2021,38245,2.00,13.00,6972401116601
DVB-T2+3 ver. 2021,39442,2.00,18.00,6972401118117
Eltex NV-102 (Eltex NV-501),39270,1.00,16.00,6931956800205
Eltex NV-501,39271,1.00,18.00,6972401117004
"Funai 2000 MK-6 (MK-7, MK-8)",38351,1.00,10.00,6972401115666
Grundig TP7187R (TP7),38730,1.00,24.00,6972401111798
Haier HTR-A10,38229,1.00,17.00,6972401114607
Haier HTR-A18E,38230,1.00,16.00,6972401114430
Haier HTR-A18H (HTR-A18HA),39188,1.00,18.00,200391880018
Hisense EN2BB27H,38352,1.00,17.00,200383520014
Hisense EN2X27HS,38652,1.00,18.00,200386520011
Hisense ER-22655HS,39286,2.00,20.00,200392860019
Huayu HL-1340E,38292,1.00,17.00,6974086692593
JVC KT1157-HH,38199,1.00,17.00,6972401115314
LG 6710V00017E,38138,1.00,16.00,6972401117868
LG 6710V00017H,38232,1.00,15.00,6972401115321
LG 6710V00090D,38233,1.00,14.00,6972401114256
LG 6710V00112V,38234,1.00,15.00,6972401111279
LG 6710V00151W,38235,1.00,17.00,200382350018
LG AKB33871410,38812,1.00,15.00,6972401111293
LG AKB69680403,37982,1.00,15.00,6972401111286
LG AKB72914009,38204,1.00,17.00,200382040018
LG AKB72914277,37976,5.00,19.00,6972401111538
LG AKB72915244,38236,1.00,16.00,6972401116632
LG AKB73615302,37977,2.00,19.00,6972401111545
LG AKB73615303,39427,1.00,19.00,6972401111330
LG AKB73655822,39429,1.00,18.00,6972401111484
LG AKB73715601,39430,1.00,18.00,6972401110999
LG AKB73715603,38120,2.00,18.00,6972401110975
LG AKB73715659,37979,2.00,15.00,6972401111675
LG AKB73715669,37980,1.00,15.00,6972401111576
LG AKB73715679,38915,1.00,15.00,200389150017
LG AKB73756502,38121,2.00,18.00,6972401111521
LG AKB73975712,39431,1.00,18.00,6931956800441
LG AKB73975729,39432,2.00,18.00,6972401111590
LG AKB73975734,39433,2.00,18.00,6972401119763
LG AKB74915304,39468,2.00,18.00,200394680011
LG AKB74915325,38732,2.00,18.00,6972401114379
LG AKB75095308,37983,2.00,18.00,6972401111682
LG AKB75095312,38272,4.00,17.00,6972401114393
"LG AN-MR19BA (AKB75635301, AKB75635305, AN-MR18BA, Netflix)",38117,2.00,55.00,200381170013
LG Magic Motion MR-18B,38135,1.00,48.00,200381350019
LG MKJ33981433,38817,1.00,16.00,200388170016
LG MKJ37815715,39435,1.00,18.00,200394350013
LG RM-913CB,38279,1.00,17.00,6972401117769
LG RM-L999+1,38247,1.00,21.00,6972401110463
NTV+ 710HD,39189,1.00,19.00,6972401118674
Openbox AS4K CI,38988,2.00,17.00,200389880013
OpenBox X-590,38990,2.00,15.00,200389900018
Oriel PDU-10,38124,2.00,13.00,6972401115390
Oriel PDU-6 (Ver.6),38137,1.00,13.00,200381370017
Oriel PDU-6U,38125,1.00,13.00,200381250012
ORIEL PDU-7,38126,1.00,10.00,6972401115611
ORIEL PDU-8,38127,1.00,14.00,6972401115413
ORIEL PDU-9,38128,1.00,11.00,6972401117202
Oriel Tesler) PDU-5,38122,2.00,13.00,6972401115642
Oriel Ver.U6,38123,2.00,13.00,6972401113518
Oriel Ver.U6,38211,2.00,14.00,6972401110210
Panasonic EUR644660,38916,1.00,,200389160016
Panasonic EUR7651110,38100,2.00,19.00,6972401118292
Panasonic EUR7722XHO,38752,1.00,18.00,200387520010
Panasonic N2QAYB000205,38813,1.00,,200388130010
Panasonic N2QAYB000399,38733,1.00,18.00,6972401112696
Panasonic N2QAYB000487,38101,1.00,19.00,6972401112726
PANASONIC TV RC-06,39256,1.00,16.00,5901986043683
Philips 2422 549 01911,38102,1.00,15.00,6972401112580
Philips 2422 549 02314,38734,1.00,17.00,6972401112597
Philips 2422 5490 2543,38212,1.00,18.00,6972401113525
Philips 242254990477,38103,1.00,16.00,6972401116397
Philips 398GR08BEPH03T,39287,1.00,20.00,6972401118261
Philips 49PUT6101/60,38105,2.00,20.00,6972401114942
Philips 9965 900 09443,38132,2.00,19.00,6972401112641
Philips 9965 900 09443 original,39439,1.00,25.00,200394390019
Philips 9965 900 09748,38081,3.00,19.00,6972401112634
Philips RC-2543 (RC-2575),38355,1.00,18.00,200383550011
Philips RC1683701/01,38213,1.00,18.00,6972401114911
Philips RC1683801/01,38356,1.00,18.00,6972401112559
Philips RC1683803/01,39440,1.00,28.00,200394400015
Philips RC19042001/01,39288,2.00,17.00,6972401119978
Philips RC19335019/01,38358,1.00,14.00,200383580018
Philips RC2023601/01,38107,4.00,17.00,6972401111040
Philips RC2023611/01,38108,1.00,17.00,6972401115703
Philips RC2023617/01,38109,1.00,13.00,6972401112542
Philips RC2034301/01,38110,2.00,17.00,6972401112566
Philips RC2034302/01,38129,1.00,17.00,6972401118247
Philips RC2034312/01,38130,1.00,17.00,6972401112573
Philips RC2422 549 01834,38131,1.00,15.00,200381310013
Philips RC2422 549 01834,38814,2.00,18.00,6972401118254
Philips RC2422 549 90467,38562,1.00,19.00,6972401112610
Philips RC2422 5499 0477W,38359,1.00,18.00,200383590017
Philips RC2835/01,38360,1.00,13.00,200383600013
Philips RC2835/01,39603,1.00,17.00,6972401112504
Philips RC3154602/01,38379,1.00,19.00,200383790011
Philips RC8201/01,38361,1.00,17.00,6972401117264
Philips RC9965 900 00449,38563,4.00,19.00,6972401112627
Philips RC9965 900 03112,38214,3.00,18.00,6972401119206
Philips RM-D1000W,38136,1.00,19.00,6974086690568
Philips RM-D1070,38992,2.00,21.00,6972401117639
Philips RM-D1110,38283,1.00,19.00,6972401111378
Philips RM-D733,38284,1.00,15.00,6934086687685
Philips RM-L1285,38285,1.00,18.00,6972401110906
Philips SBC RP520,38215,2.00,14.00,200382150014
PHILIPS TV with netflix HOF16H303GPD24,39466,1.00,18.00,200394660013
Philips WIR241001-9501,39604,2.00,15.00,200396040011
PHILIPS YKF347-003,39517,1.00,18.00,200395170016
Pilot programowalny do tunera URZ0328,39028,7.00,13.00,5901890025942
PULT a Cabletech URZ0336,38980,3.00,12.00,5901890050050
PULT CABLETECH,38981,1.00,11.00,5902270700985
PULT Finlux (IRC 51 F) universal,37958,1.00,15.00,200379580015
PULT FORMULER Z NANO,39142,1.00,18.00,200391420016
Pult Huayu  Beko RC-7SZ206 (RC-6-7-5),38085,3.00,16.00,6972401117455
PULT Huayu LG AKB33871407,38090,2.00,15.00,6972401115369
PULT Huayu LG AKB33871408,38093,1.00,18.00,6972401116786
PULT Huayu LG AKB33871409,38094,2.00,18.00,6931956801424
PULT Huayu LG AKB69680403,38095,1.00,15.00,200380950012
PULT Huayu LG AKB72914207,38096,1.00,17.00,200380960011
Pult Huayu LG AKB73715622,37978,1.00,17.00,6972401114331
Pult Huayu LG AKB73715694,37981,1.00,15.00,6972401116809
PULT Huayu LG MKJ33981406 (MKJ61611305),38097,1.00,14.00,200380970010
Pult Huayu Tricolor DTS53/54,37998,2.00,17.00,6972401115482
Remote control for Kruger & Matz KM0232-S5,39100,1.00,17.00,5901890070249
Remote Control for X96 X96mini X96W Android TV Box,39467,4.00,14.00,200394670012
Sagemcom DSI87-1 HD (DSI74 HD),38112,1.00,18.00,6972401112238
Samsung 3F14-00034-980,38362,1.00,14.00,200383620011
Samsung 3F14-00038-091,38363,1.00,14.00,6972401113556
Samsung AA59-00104A,38364,1.00,15.00,6972401113488
Samsung AA59-00104D,38365,1.00,14.00,6972401112764
Samsung AA59-00198D,37986,1.00,14.00,6972401116434
Samsung AA59-00198F,38416,1.00,11.00,6972401112771
Samsung AA59-00198G,38417,1.00,,6972401113051
Samsung AA59-00332D,39289,1.00,17.00,6972401118322
Samsung AA59-00357B,39290,1.00,22.00,6931956801004
Samsung AA59-00370A,39291,1.00,17.00,6931956800403
Samsung AA59-00370B,38418,2.00,17.00,6972401112788
Samsung AA59-00401B,38367,3.00,18.00,6972401117318
Samsung AA59-00431A,37988,1.00,17.00,200379880016
Samsung AA59-00483A,38368,1.00,18.00,6972401112900
Samsung AA59-00507A,38217,3.00,17.00,6972401112917
SAMSUNG AA59-00594A,39538,1.00,18.00,200395380019
Samsung AA59-00603A,37990,1.00,17.00,6972401112924
Samsung AA59-00630A,37991,1.00,15.00,200379910010
Samsung AA59-00666A (AA59-00741A),38307,1.00,15.00,200383070014
Samsung AA59-00741A,37992,1.00,15.00,6972401112948
Samsung AA59-00793A,37995,1.00,17.00,6972401113594
Samsung AH59-01695N,39605,1.00,17.00,200396050010
Samsung AH59-01778Y,39606,1.00,15.00,200396060019
Samsung BN59-00437A,38237,2.00,16.00,6972401113570
Samsung BN59-00529A,37996,1.00,17.00,200379960015
Samsung BN59-00529A,38218,1.00,19.00,200382180011
Samsung BN59-00602A,38240,2.00,22.00,6972401112849
Samsung BN59-00609A,38419,1.00,16.00,6972401112795
Samsung BN59-00863A,38420,1.00,17.00,6972401118339
Samsung BN59-00865A,39292,1.00,17.00,6972401113563
Samsung BN59-01005A,38219,1.00,15.00,6972401115079
Samsung BN59-01040A,38654,2.00,21.00,6972401112863
Samsung BN59-01259B,38917,1.00,24.00,6972401113389
Samsung BN59-01268D,38565,1.00,15.00,6972401111873
Selenga HD930D,38274,2.00,13.00,6972401111842
Selenga T50,38275,1.00,10.00,6972401114492
Selenga T60 (T40),38276,1.00,10.00,6972401112382
Selenga T70 (HD930),38277,1.00,12.00,6972401117943
Sharp GA481WJSA,38372,1.00,16.00,200383720018
Sharp GJ220,38920,1.00,25.00,6972401114997
Sharp RC1910,39607,1.00,18.00,6972401115000
"Skyway Light (Gi) (Nano 2, S8580)",38989,3.00,15.00,6972401114706
Sony RM-836,38114,1.00,15.00,200381140016
Sony RM-839,38373,1.00,15.00,200383730017
Sony RM-870,38374,1.00,14.00,6972401117349
Sony RM-887,38115,1.00,15.00,6972401115826
Sony RM-D764,38288,1.00,16.00,6974086690391
Sony RM-ED007,38116,1.00,15.00,200381160014
Sony RM-ED011,38133,2.00,19.00,6972401113143
Sony RM-ED022,38134,1.00,17.00,200381340010
Sony RM-ED022,38200,3.00,20.00,6972401113020
Sony RM-ED030,38376,1.00,18.00,200383760014
Sony RM-ED046,38377,3.00,22.00,6972401113198
Sony RM-ED054,38555,2.00,18.00,6972401113181
Sony RM-GA016,38378,1.00,15.00,6972401116526
Sony RM-GA018,38221,2.00,17.00,6972401113174
TCL RC2000E02,39441,1.00,19.00,200394410014
TCL RM-L1508+,38559,1.00,22.00,6974086694306
Thomson RC111TA1G,39436,2.00,18.00,6972401113310
Thomson RC1994301,39437,1.00,22.00,6972401115130
Thomson RC1994925,38557,1.00,22.00,6972401117059
Thomson RC3000E02+FAV,38991,4.00,19.00,200389910017
Thomson RCT311 TT1G,38224,1.00,20.00,200382240012
Toshiba CT-90405 (CT-90404),38736,2.00,17.00,6972401115994
Tricolor General Satelite B211,37972,4.00,17.00,6972401111132
Tricolor GS-8300,38201,1.00,15.00,6934086692160
TRICOLOR GS-8300M,38737,1.00,15.00,200387370011
Tricolor GS-8306,38202,2.00,15.00,6934086692184
TV BOX X96,39294,1.00,15.00,6972401118810
TV Remote Control for PHILIPS Smart TV HOF16H303GPD24,39625,1.00,18.00,200396250014
TVIP 01FE 98301,39295,1.00,17.00,6972401114577
Universal remote control for Samsung LED / LCD TV PIL1040,38082,1.00,15.00,5901890052412
Vestel RC-1241 (TS-1405),38243,2.00,12.00,200382430017
Vestel RC-2440,38278,1.00,14.00,6972401116007
Vestel RC1912,38739,1.00,23.00,200387390019
Vestel RC2575,38249,1.00,14.00,200382490011
Vestel RM-175CH,38289,1.00,15.00,6934086692658
Vestel RM-L1200,38290,1.00,17.00,6974086689630
Vestel RM-L1389,38664,1.00,16.00,6974086693804
Vestel SF-148 (2040),38223,1.00,12.00,200382230013
World Vision T37,39438,1.00,12.00,6972401118148
World Vision T62A,39296,2.00,14.00,200392960016
World Vision T70,38244,3.00,13.00,6972401113471
